Epoch,Acc_Q,F1_Q,Acc_Z,F1_Z,Acc_P,F1_P
0,0.8277685950413223,0.8295787725035657,0.617190082644628,0.5561431812886112,0.8300826446280992,0.8313112398452174
1,0.7963636363636364,0.7877179050155957,0.6846280991735537,0.6245607648466364,0.8092561983471075,0.8034583571697483
2,0.8419834710743802,0.8426192104091267,0.7699173553719009,0.7574710234258991,0.8452892561983472,0.8454736800967132
3,0.8363636363636363,0.8383043537891487,0.6066115702479339,0.5827518713951646,0.8462809917355372,0.8474077980470547
4,0.8515702479338843,0.8524064263681295,0.7461157024793389,0.7341831437493945,0.8542148760330579,0.8545545637925893
5,0.8548760330578512,0.8535908040268642,0.8036363636363636,0.7955429312236122,0.8538842975206612,0.8524695281451167
6,0.8419834710743802,0.8382755945447387,0.8142148760330579,0.802474746510248,0.847603305785124,0.8447077326392064
7,0.8386776859504133,0.8337348206190501,0.795702479338843,0.774740306595549,0.8429752066115702,0.8389092260663116
8,0.8462809917355372,0.8423075037766465,0.8234710743801653,0.8107142390599987,0.8495867768595041,0.8461347260101056
9,0.8565289256198347,0.8538387501686371,0.8803305785123967,0.8780990632359241,0.8585123966942149,0.8560873828310553
10,0.8654545454545455,0.8639221529157887,0.8988429752066116,0.8982156396817204,0.8671074380165289,0.8657800375476388
11,0.8677685950413223,0.8666452728655853,0.8985123966942149,0.8977230208207608,0.868099173553719,0.8670515878658537
12,0.8684297520661157,0.867413852671238,0.8965289256198347,0.8957806900753332,0.8697520661157024,0.868807613289194
13,0.8690909090909091,0.8680839243532245,0.9021487603305786,0.9022419308852515,0.8697520661157024,0.8687339223573072
14,0.8674380165289256,0.866191501212151,0.8965289256198347,0.8962823990899911,0.868099173553719,0.8668846686798944
15,0.8667768595041322,0.8654498068196291,0.9018181818181819,0.9014865559274178,0.868099173553719,0.8668147020518889
16,0.8671074380165289,0.8658249684167885,0.9024793388429752,0.9023014244004952,0.8671074380165289,0.8658484806529997
17,0.8671074380165289,0.8658249684167885,0.8968595041322314,0.8967306789897932,0.8671074380165289,0.8658249684167885
18,0.8671074380165289,0.8658238109536129,0.9034710743801653,0.9032510012708705,0.8671074380165289,0.865847195708403
19,0.8667768595041322,0.8654786023833095,0.8971900826446281,0.8968712130471613,0.8671074380165289,0.865847195708403
20,0.8667768595041322,0.865501146838425,0.8988429752066116,0.8987061259283191,0.8671074380165289,0.865847195708403
21,0.8667768595041322,0.865501146838425,0.8985123966942149,0.8983039003832679,0.8664462809917355,0.8651793341673129
22,0.8667768595041322,0.865501146838425,0.8981818181818182,0.89786900380498,0.8664462809917355,0.8651793341673129
23,0.8661157024793389,0.8648149705114782,0.9008264462809917,0.9008370358029868,0.8661157024793389,0.8648149705114782
