Epoch,Acc_Q,F1_Q,NMI_Q,ARI_Q,Acc_Z,F1_Z,NMI_Z,ARI_Z,Acc_P,F1_P,NMI_P,ARI_P
0,0.9944444444444445,0.9944440586151817,0.9742376359151578,0.9832862676849272,0.48333333333333334,0.3946899789541849,0.2541599509800689,0.10021359628695778,0.9944444444444445,0.9944440586151817,0.9742376359151578,0.9832862676849272
1,0.9888888888888889,0.9888885030596262,0.9485174162625059,0.9667129869019139,0.5055555555555555,0.42453874377946854,0.28388489955093316,0.12442933515841008,0.9888888888888889,0.9888885030596262,0.9485174162625059,0.9667129869019139
2,0.9888888888888889,0.9888885030596262,0.9485174162625059,0.9667129869019139,0.5277777777777778,0.44718566474119575,0.3235478790534607,0.1635890576367934,0.9888888888888889,0.9888885030596262,0.9485174162625059,0.9667129869019139
3,0.9833333333333333,0.9833310373329661,0.9298040741340827,0.9504253548023157,0.5388888888888889,0.46416374640717484,0.3347228869404568,0.17296951336059058,0.9888888888888889,0.9888885030596262,0.9485174162625059,0.9667129869019139
4,0.9888888888888889,0.9888885030596262,0.9485174162625059,0.9667129869019139,0.5555555555555556,0.4847789115646259,0.37128062186936045,0.22813934148520035,0.9888888888888889,0.9888885030596262,0.9485174162625059,0.9667129869019139
5,0.9888888888888889,0.9888885030596262,0.9485174162625059,0.9667129869019139,0.5888888888888889,0.519992288413341,0.4256892483298461,0.2949188266386513,0.9888888888888889,0.9888885030596262,0.9485174162625059,0.9667129869019139
6,0.9888888888888889,0.9888885030596262,0.9485174162625059,0.9667129869019139,0.6,0.5369369612594249,0.4432819749669296,0.3214406105920417,0.9888888888888889,0.9888885030596262,0.9485174162625059,0.9667129869019139
7,0.9888888888888889,0.9888885030596262,0.9485174162625059,0.9667129869019139,0.6222222222222222,0.5548985101223907,0.49678598583429917,0.38611097407937767,0.9888888888888889,0.9888885030596262,0.9485174162625059,0.9667129869019139
8,0.9888888888888889,0.9888885030596262,0.9485174162625059,0.9667129869019139,0.6388888888888888,0.5739944764181443,0.5240221172470068,0.4193188700592747,0.9888888888888889,0.9888885030596262,0.9485174162625059,0.9667129869019139
9,0.9888888888888889,0.9888885030596262,0.9485174162625059,0.9667129869019139,0.65,0.5893167701863354,0.5487987449373011,0.45184407848026736,0.9888888888888889,0.9888885030596262,0.9485174162625059,0.9667129869019139
10,0.9888888888888889,0.9888885030596262,0.9485174162625059,0.9667129869019139,0.6666666666666666,0.6129674180997357,0.5623714901146492,0.4683784056395486,0.9888888888888889,0.9888885030596262,0.9485174162625059,0.9667129869019139
11,0.9888888888888889,0.9888885030596262,0.9485174162625059,0.9667129869019139,0.6722222222222223,0.6228299305222381,0.5738414154437185,0.4838255419864731,0.9888888888888889,0.9888885030596262,0.9485174162625059,0.9667129869019139
12,0.9888888888888889,0.9888885030596262,0.9485174162625059,0.9667129869019139,0.6611111111111111,0.6203574203574204,0.5594833001555714,0.47558153669980485,0.9888888888888889,0.9888885030596262,0.9485174162625059,0.9667129869019139
13,0.9888888888888889,0.9888885030596262,0.9485174162625059,0.9667129869019139,0.6666666666666666,0.637537328802389,0.5486858551177349,0.46859684345996166,0.9888888888888889,0.9888885030596262,0.9485174162625059,0.9667129869019139
14,0.9888888888888889,0.9888885030596262,0.9485174162625059,0.9667129869019139,0.6777777777777778,0.6519617299282804,0.538950863733403,0.4765743835979484,0.9888888888888889,0.9888885030596262,0.9485174162625059,0.9667129869019139
15,0.9888888888888889,0.9888885030596262,0.9485174162625059,0.9667129869019139,0.6444444444444445,0.6273803274666087,0.4714992350511677,0.4386941015591894,0.9888888888888889,0.9888885030596262,0.9485174162625059,0.9667129869019139
16,0.9777777777777777,0.9777693632227592,0.9137304977006524,0.9344279655200274,0.65,0.639272366579875,0.4551733072554357,0.42575027934388454,0.9888888888888889,0.9888885030596262,0.9485174162625059,0.9667129869019139
17,0.9777777777777777,0.9777693632227592,0.9137304977006524,0.9344279655200274,0.65,0.6422233385519798,0.4534093162204041,0.4237014566980939,0.9833333333333333,0.9833310373329661,0.9298040741340827,0.9504253548023157
18,0.9777777777777777,0.9777693632227592,0.9137304977006524,0.9344279655200274,0.6555555555555556,0.6499624258955161,0.47057318746946664,0.43807734141624377,0.9777777777777777,0.9777693632227592,0.9137304977006524,0.9344279655200274
19,0.9777777777777777,0.9777693632227592,0.9137304977006524,0.9344279655200274,0.65,0.6445249382773289,0.4703534867452584,0.4377489356665185,0.9777777777777777,0.9777693632227592,0.9137304977006524,0.9344279655200274
20,0.9777777777777777,0.9777693632227592,0.9137304977006524,0.9344279655200274,0.6555555555555556,0.6503458982375735,0.4713352116753809,0.4391995034903002,0.9777777777777777,0.9777693632227592,0.9137304977006524,0.9344279655200274
21,0.9777777777777777,0.9777693632227592,0.9137304977006524,0.9344279655200274,0.6611111111111111,0.655366463237431,0.4727302686297402,0.44106309183559306,0.9777777777777777,0.9777693632227592,0.9137304977006524,0.9344279655200274
22,0.9777777777777777,0.9777693632227592,0.9137304977006524,0.9344279655200274,0.6444444444444445,0.6328257587101928,0.4486314082472052,0.4267773494111084,0.9777777777777777,0.9777693632227592,0.9137304977006524,0.9344279655200274
23,0.9777777777777777,0.9777693632227592,0.9137304977006524,0.9344279655200274,0.6611111111111111,0.6470909557357961,0.4769707369058503,0.445386773931393,0.9777777777777777,0.9777693632227592,0.9137304977006524,0.9344279655200274
24,0.9777777777777777,0.9777693632227592,0.9137304977006524,0.9344279655200274,0.65,0.6337311010726834,0.4777819862160959,0.4463842147976253,0.9777777777777777,0.9777693632227592,0.9137304977006524,0.9344279655200274
25,0.9777777777777777,0.9778991828327692,0.9134577324350996,0.9336045602508797,0.6444444444444445,0.6258169934640522,0.47014691224633254,0.44061124904742005,0.9777777777777777,0.9777693632227592,0.9137304977006524,0.9344279655200274
26,0.9777777777777777,0.9778991828327692,0.9134577324350996,0.9336045602508797,0.6444444444444445,0.6247834017327861,0.4627251894303393,0.4341982034775312,0.9777777777777777,0.9778991828327692,0.9134577324350996,0.9336045602508797
27,0.9777777777777777,0.9778991828327692,0.9134577324350996,0.9336045602508797,0.6444444444444445,0.6247834017327861,0.4627251894303393,0.4341982034775312,0.9777777777777777,0.9778991828327692,0.9134577324350996,0.9336045602508797
28,0.9777777777777777,0.9778991828327692,0.9134577324350996,0.9336045602508797,0.6444444444444445,0.6247834017327861,0.4627251894303393,0.4341982034775312,0.9777777777777777,0.9778991828327692,0.9134577324350996,0.9336045602508797
29,0.9777777777777777,0.9778991828327692,0.9134577324350996,0.9336045602508797,0.6444444444444445,0.6247834017327861,0.4627251894303393,0.4341982034775312,0.9777777777777777,0.9778991828327692,0.9134577324350996,0.9336045602508797
30,0.9777777777777777,0.9778991828327692,0.9134577324350996,0.9336045602508797,0.6444444444444445,0.6247834017327861,0.4627251894303393,0.4341982034775312,0.9777777777777777,0.9778991828327692,0.9134577324350996,0.9336045602508797
31,0.9777777777777777,0.9778991828327692,0.9134577324350996,0.9336045602508797,0.65,0.6324733324190731,0.45398947190758776,0.42540341053899206,0.9777777777777777,0.9778991828327692,0.9134577324350996,0.9336045602508797
32,0.9777777777777777,0.9778991828327692,0.9134577324350996,0.9336045602508797,0.6444444444444445,0.6273171273171273,0.45266959983655636,0.42404311570841985,0.9777777777777777,0.9778991828327692,0.9134577324350996,0.9336045602508797
33,0.9777777777777777,0.9778991828327692,0.9134577324350996,0.9336045602508797,0.6444444444444445,0.6298941050779286,0.4499832939349728,0.4207730802522951,0.9777777777777777,0.9778991828327692,0.9134577324350996,0.9336045602508797
34,0.9833333333333333,0.9834190807368834,0.9296250480161892,0.9498731984810488,0.65,0.6370891330891331,0.44885857259897805,0.4192938155360582,0.9833333333333333,0.9834190807368834,0.9296250480161892,0.9498731984810488
35,0.9777777777777777,0.9778991828327692,0.9134577324350996,0.9336045602508797,0.6777777777777778,0.6672882672882673,0.4516312985125771,0.42350956657555644,0.9777777777777777,0.9778991828327692,0.9134577324350996,0.9336045602508797
36,0.9722222222222222,0.9724699406055338,0.8945514457673995,0.916783935513763,0.6555555555555556,0.6432542021227446,0.4407886714998623,0.41115155151307775,0.9777777777777777,0.9778991828327692,0.9134577324350996,0.9336045602508797
37,0.9833333333333333,0.9833310373329661,0.9298040741340827,0.9504253548023157,0.6444444444444445,0.6313033385543735,0.43973759645564087,0.4096969337107436,0.9833333333333333,0.9834190807368834,0.9296250480161892,0.9498731984810488
38,0.9722222222222222,0.9724699406055338,0.8945514457673995,0.916783935513763,0.6555555555555556,0.6409861325115562,0.4351019698082038,0.4057368225628801,0.9722222222222222,0.9724699406055338,0.8945514457673995,0.916783935513763
39,0.9722222222222222,0.9724699406055338,0.8945514457673995,0.916783935513763,0.65,0.6346932434358231,0.4346407084634534,0.40501421817946487,0.9722222222222222,0.9724699406055338,0.8945514457673995,0.916783935513763
40,0.9833333333333333,0.9833310373329661,0.9298040741340827,0.9504253548023157,0.6666666666666666,0.6541004040531361,0.45620642825551916,0.42718860243598117,0.9833333333333333,0.9834190807368834,0.9296250480161892,0.9498731984810488
41,0.9666666666666667,0.9669830137392967,0.880038546338381,0.9006886564460062,0.6722222222222223,0.6574065934065935,0.45109635849161084,0.423751142929401,0.9666666666666667,0.9669830137392967,0.880038546338381,0.9006886564460062
42,0.9722222222222222,0.9724699406055338,0.8945514457673995,0.916783935513763,0.6777777777777778,0.6625966625966626,0.4526501978966311,0.42613397846319373,0.9722222222222222,0.9724699406055338,0.8945514457673995,0.916783935513763
43,0.9777777777777777,0.9779478767997084,0.9107705593574371,0.9331802511426268,0.6722222222222223,0.6559785353535353,0.43564992081262927,0.41853630164956873,0.9722222222222222,0.9724699406055338,0.8945514457673995,0.916783935513763
44,0.95,0.9506533178503802,0.8381063993309322,0.8525421222725257,0.6666666666666666,0.6463467048995413,0.4292770531693879,0.4131093324546973,0.9555555555555556,0.9561269044964696,0.8504076620805806,0.8681380534825335
45,0.9777777777777777,0.9779478767997084,0.9107705593574371,0.9331802511426268,0.6722222222222223,0.6541289090262971,0.436886380798614,0.4201197756211587,0.9722222222222222,0.9724699406055338,0.8945514457673995,0.916783935513763
46,0.9666666666666667,0.9669830137392967,0.880038546338381,0.9006886564460062,0.6611111111111111,0.6393231409704278,0.42902174162342493,0.4125041016644112,0.9611111111111111,0.9614848254506138,0.8667901986633193,0.8848986394669712
47,0.9555555555555556,0.9559730895034195,0.8545461125820462,0.8694179271305257,0.6611111111111111,0.6369486972353949,0.4305661480484008,0.414479642165715,0.9555555555555556,0.9559730895034195,0.8545461125820462,0.8694179271305257
48,0.9777777777777777,0.9778657651816863,0.9040347284479812,0.9337163945383966,0.6777777777777778,0.6599235359376318,0.44672476126090416,0.42919381430133163,0.9666666666666667,0.9669205978503891,0.869091373038684,0.9010385094648418
49,0.9444444444444444,0.9451629982603434,0.8266360284010736,0.837262423400528,0.6833333333333333,0.6584180582733005,0.43762698245556514,0.42429865077798096,0.95,0.9506533178503802,0.8381063993309322,0.8525421222725257
50,0.9555555555555556,0.9559730895034195,0.8545461125820462,0.8694179271305257,0.6833333333333333,0.6644071977316705,0.42014760229814124,0.41706795098124283,0.9555555555555556,0.9559730895034195,0.8545461125820462,0.8694179271305257
51,0.9611111111111111,0.9614357191152324,0.8546171327942587,0.8850802042203341,0.6833333333333333,0.6664674852151418,0.41838069985286236,0.4149303401337476,0.9555555555555556,0.9559398638682527,0.8414053845809878,0.8694271134090893
52,0.9444444444444444,0.9451629982603434,0.8266360284010736,0.837262423400528,0.6833333333333333,0.6644071977316705,0.42014760229814124,0.41706795098124283,0.9444444444444444,0.9451629982603434,0.8266360284010736,0.837262423400528
53,0.9611111111111111,0.9614357191152324,0.8546171327942587,0.8850802042203341,0.6833333333333333,0.6664674852151418,0.41838069985286236,0.4149303401337476,0.95,0.9504307317622449,0.8291957844773035,0.8540832858922667
54,0.9388888888888889,0.939653645760516,0.815874305984257,0.8223026016213172,0.6888888888888889,0.6705700330915109,0.41441524946310504,0.41327464753503484,0.9388888888888889,0.939653645760516,0.815874305984257,0.8223026016213172
55,0.95,0.9504307317622449,0.8291957844773035,0.8540832858922667,0.6833333333333333,0.6692024886877829,0.4088690424138625,0.40577871128471305,0.95,0.9504307317622449,0.8291957844773035,0.8540832858922667
56,0.95,0.950445500980765,0.8431342535984113,0.8542503756393299,0.6944444444444444,0.6769634327773862,0.43906650300371997,0.4277642998873109,0.9444444444444444,0.9448997330353263,0.8324323726871844,0.8393996517454928
57,0.9444444444444444,0.9448997330353263,0.8324323726871844,0.8393996517454928,0.7,0.683076923076923,0.4344872045200637,0.4247961630695444,0.9388888888888889,0.939653645760516,0.815874305984257,0.8223026016213172
58,0.95,0.9504307317622449,0.8291957844773035,0.8540832858922667,0.6944444444444444,0.6795994974115912,0.4302352477805715,0.4188361331584559,0.95,0.9504307317622449,0.8291957844773035,0.8540832858922667
59,0.9277777777777778,0.9291162689332025,0.7874213220152799,0.7890700001325774,0.7,0.6785961404784224,0.4325110459303655,0.4241178401507365,0.9277777777777778,0.9291162689332025,0.7874213220152799,0.7890700001325774
60,0.95,0.9504307317622449,0.8291957844773035,0.8540832858922667,0.6944444444444444,0.6795994974115912,0.4302352477805715,0.4188361331584559,0.95,0.9504307317622449,0.8291957844773035,0.8540832858922667
61,0.95,0.9504307317622449,0.8291957844773035,0.8540832858922667,0.7055555555555556,0.6926593406593406,0.4338792102667485,0.42430830885356885,0.95,0.9504307317622449,0.8291957844773035,0.8540832858922667
62,0.9333333333333333,0.9343931930138827,0.8010180311903137,0.8055246824931004,0.7,0.6808702847015223,0.40869486257995874,0.404265190998693,0.9333333333333333,0.9343931930138827,0.8010180311903137,0.8055246824931004
63,0.95,0.9504307317622449,0.8291957844773035,0.8540832858922667,0.7166666666666667,0.7045604730396574,0.4298680596999738,0.42297953935311927,0.95,0.9504307317622449,0.8291957844773035,0.8540832858922667
64,0.9444444444444444,0.9448997330353263,0.8324323726871844,0.8393996517454928,0.7111111111111111,0.6944828333579626,0.4136327518396043,0.41111449048911464,0.9444444444444444,0.9448997330353263,0.8324323726871844,0.8393996517454928
65,0.95,0.9504307317622449,0.8291957844773035,0.8540832858922667,0.7222222222222222,0.7095342441555315,0.4300999939495487,0.424805318759174,0.9555555555555556,0.9559730895034195,0.8545461125820462,0.8694179271305257
66,0.95,0.950445500980765,0.8431342535984113,0.8542503756393299,0.7333333333333333,0.7213331942049104,0.4376204579937002,0.4353874528125032,0.95,0.950445500980765,0.8431342535984113,0.8542503756393299
67,0.95,0.9504307317622449,0.8291957844773035,0.8540832858922667,0.7388888888888889,0.7289925700611076,0.44397891360387104,0.4426980467254523,0.9555555555555556,0.9559730895034195,0.8545461125820462,0.8694179271305257
68,0.95,0.950445500980765,0.8431342535984113,0.8542503756393299,0.7444444444444445,0.7343995510662178,0.4483025411257514,0.4489878302721979,0.9444444444444444,0.9448997330353263,0.8324323726871844,0.8393996517454928
69,0.95,0.9504307317622449,0.8291957844773035,0.8540832858922667,0.7277777777777777,0.7206161914126517,0.41174316268818345,0.4149563131879686,0.95,0.9504307317622449,0.8291957844773035,0.8540832858922667
