NodeID,ClusterID
0,0
1,1
2,0
3,0
4,2
5,1
6,1
7,2
8,2
9,0
10,2
11,0
12,1
13,2
14,0
15,2
16,2
17,0
18,1
19,1
20,2
21,1
22,2
23,0
24,0
25,0
26,2
27,2
28,2
29,0
30,0
31,0
32,0
33,0
34,2
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,1
43,0
44,0
45,2
46,0
47,2
48,1
49,1
50,0
51,0
52,2
53,0
54,2
55,2
56,0
57,0
58,2
59,1
60,2
61,1
62,2
63,2
64,2
65,2
66,1
67,0
68,2
69,2
70,0
71,1
72,1
73,0
74,1
75,0
76,0
77,1
78,2
79,1
80,1
81,1
82,0
83,1
84,0
85,1
86,2
87,2
88,1
89,1
90,0
91,1
92,0
93,1
94,2
95,1
96,2
97,1
98,0
99,1
100,1
101,0
102,1
103,1
104,0
105,1
106,2
107,1
108,1
109,0
110,1
111,0
112,1
113,2
114,0
115,0
116,2
117,0
118,0
119,0
120,1
121,0
122,1
123,2
124,2
125,2
126,1
127,1
128,0
129,2
130,0
131,2
132,0
133,2
134,0
135,0
136,0
137,1
138,0
139,0
140,2
141,1
142,2
143,0
144,0
145,1
146,1
147,0
148,1
149,0
150,2
151,0
152,2
153,1
154,1
155,1
156,1
157,1
158,1
159,0
160,0
161,0
162,2
163,1
164,2
165,2
166,0
167,1
168,0
169,2
170,2
171,0
172,0
173,2
174,0
175,1
176,1
177,0
178,1
179,2
