use cuda: True
Namespace(name='acm', k=None, lr=0.001, n_clusters=3, n_z=10, pretrain_path='data/acm.pkl', cuda=True, n_input=1870)
SDCN(
  (ae): AE(
    (enc_1): Linear(in_features=1870, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=500, bias=True)
    (enc_3): Linear(in_features=500, out_features=2000, bias=True)
    (z_layer): Linear(in_features=2000, out_features=10, bias=True)
    (dec_1): Linear(in_features=10, out_features=2000, bias=True)
    (dec_2): Linear(in_features=2000, out_features=500, bias=True)
    (dec_3): Linear(in_features=500, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=1870, bias=True)
  )
  (gnn_1): GNNLayer()
  (gnn_2): GNNLayer()
  (gnn_3): GNNLayer()
  (gnn_4): GNNLayer()
  (gnn_5): GNNLayer()
)
23Q :acc 0.8688 , nmi 0.5918 , ari 0.6516 , f1 0.8679
23Z :acc 0.6430 , nmi 0.4536 , ari 0.4244 , f1 0.5256
23P :acc 0.8688 , nmi 0.5921 , ari 0.6518 , f1 0.8679
24Q :acc 0.8684 , nmi 0.5910 , ari 0.6509 , f1 0.8676
24Z :acc 0.6400 , nmi 0.4486 , ari 0.4196 , f1 0.5239
24P :acc 0.8684 , nmi 0.5913 , ari 0.6510 , f1 0.8676
25Q :acc 0.8684 , nmi 0.5910 , ari 0.6508 , f1 0.8676
25Z :acc 0.6403 , nmi 0.4509 , ari 0.4223 , f1 0.5250
25P :acc 0.8684 , nmi 0.5913 , ari 0.6510 , f1 0.8676
26Q :acc 0.8684 , nmi 0.5910 , ari 0.6508 , f1 0.8676
26Z :acc 0.6397 , nmi 0.4493 , ari 0.4219 , f1 0.5251
26P :acc 0.8684 , nmi 0.5910 , ari 0.6508 , f1 0.8676
27Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
27Z :acc 0.6390 , nmi 0.4483 , ari 0.4206 , f1 0.5248
27P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
28Q :acc 0.8684 , nmi 0.5910 , ari 0.6508 , f1 0.8676
28Z :acc 0.6364 , nmi 0.4501 , ari 0.4214 , f1 0.5233
28P :acc 0.8684 , nmi 0.5910 , ari 0.6508 , f1 0.8676
29Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
29Z :acc 0.6374 , nmi 0.4545 , ari 0.4264 , f1 0.5247
29P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
30Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
30Z :acc 0.6360 , nmi 0.4447 , ari 0.4194 , f1 0.5275
30P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
31Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
31Z :acc 0.6337 , nmi 0.4555 , ari 0.4263 , f1 0.5233
31P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
32Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
32Z :acc 0.6317 , nmi 0.4507 , ari 0.4253 , f1 0.5261
32P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
33Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
33Z :acc 0.6334 , nmi 0.4438 , ari 0.4166 , f1 0.5675
33P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
34Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
34Z :acc 0.6883 , nmi 0.4464 , ari 0.4186 , f1 0.6584
34P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
35Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
35Z :acc 0.8198 , nmi 0.5373 , ari 0.5550 , f1 0.8189
35P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
36Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
36Z :acc 0.8635 , nmi 0.5991 , ari 0.6430 , f1 0.8635
36P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
37Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
37Z :acc 0.8783 , nmi 0.6286 , ari 0.6770 , f1 0.8785
37P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
38Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
38Z :acc 0.8860 , nmi 0.6401 , ari 0.6939 , f1 0.8862
38P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
39Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
39Z :acc 0.8774 , nmi 0.6306 , ari 0.6763 , f1 0.8773
39P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
40Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
40Z :acc 0.8886 , nmi 0.6464 , ari 0.7003 , f1 0.8889
40P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
41Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
41Z :acc 0.8853 , nmi 0.6444 , ari 0.6939 , f1 0.8854
41P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
42Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
42Z :acc 0.8810 , nmi 0.6385 , ari 0.6849 , f1 0.8809
42P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
43Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
43Z :acc 0.8932 , nmi 0.6567 , ari 0.7115 , f1 0.8935
43P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
44Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
44Z :acc 0.8856 , nmi 0.6451 , ari 0.6947 , f1 0.8857
44P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
45Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
45Z :acc 0.8853 , nmi 0.6420 , ari 0.6939 , f1 0.8851
45P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
46Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
46Z :acc 0.8893 , nmi 0.6483 , ari 0.7026 , f1 0.8891
46P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
47Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
47Z :acc 0.8860 , nmi 0.6471 , ari 0.6957 , f1 0.8859
47P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
48Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
48Z :acc 0.8886 , nmi 0.6445 , ari 0.7006 , f1 0.8885
48P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
49Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
49Z :acc 0.8850 , nmi 0.6392 , ari 0.6926 , f1 0.8847
49P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
